name,price,description,categories,url,image_urls,local_images
Haut (Beige),CHF45.00,Haut long en Jersey beige / Doux.,"Hauts/Tops, Vêtements",https://www.oprocaccini.com/produit/haut-beige-2/,https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000328-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000333-scaled.jpg,oprocaccini_export\images\haut-beige\haut-beige_1.jpg; oprocaccini_export\images\haut-beige\haut-beige_2.jpg
Haut (Bleu turquoise),CHF45.00,Haut long en velours bleu turquoise.,"Hauts/Tops, Vêtements",https://www.oprocaccini.com/produit/haut-bleu-turquoise/,https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000283-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000286-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000282-scaled.jpg,oprocaccini_export\images\haut-bleu-turquoise\haut-bleu-turquoise_1.jpg; oprocaccini_export\images\haut-bleu-turquoise\haut-bleu-turquoise_2.jpg; oprocaccini_export\images\haut-bleu-turquoise\haut-bleu-turquoise_3.jpg
Haut (Bleu),CHF39.90,Haut en viscose.,"Hauts/Tops, Vêtements",https://www.oprocaccini.com/produit/haut-bleu/,https://www.oprocaccini.com/wp-content/uploads/2021/10/P1000351-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2021/10/P1000347-scaled.jpg,oprocaccini_export\images\haut-bleu\haut-bleu_1.jpg; oprocaccini_export\images\haut-bleu\haut-bleu_2.jpg
Haut (Gris),CHF45.00,Haut long en Jersey gris.,"Hauts/Tops, Vêtements",https://www.oprocaccini.com/produit/haut-gris-2/,https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000301-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000302-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000304-scaled.jpg,oprocaccini_export\images\haut-gris\haut-gris_1.jpg; oprocaccini_export\images\haut-gris\haut-gris_2.jpg; oprocaccini_export\images\haut-gris\haut-gris_3.jpg
Haut (Gris),CHF49.90,Haut long dans le dos et cours devant en Jersey gris.,"Hauts/Tops, Vêtements",https://www.oprocaccini.com/produit/haut-gris-4/,https://www.oprocaccini.com/wp-content/uploads/2023/07/P1010461-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2023/07/P1010459-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2023/07/P1010460-scaled.jpg,oprocaccini_export\images\haut-gris\haut-gris_1.jpg; oprocaccini_export\images\haut-gris\haut-gris_2.jpg; oprocaccini_export\images\haut-gris\haut-gris_3.jpg
Haut (Noir),CHF49.90,Haut long dans le dos et cours devant en Jersey gris.,"Hauts/Tops, Vêtements",https://www.oprocaccini.com/produit/haut-noir/,https://www.oprocaccini.com/wp-content/uploads/2023/07/P1010452-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2023/07/P1010456-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2023/07/P1010458-scaled.jpg,oprocaccini_export\images\haut-noir\haut-noir_1.jpg; oprocaccini_export\images\haut-noir\haut-noir_2.jpg; oprocaccini_export\images\haut-noir\haut-noir_3.jpg
Haut (Prune),CHF45.00,Haut long en Jersey.,"Hauts/Tops, Vêtements",https://www.oprocaccini.com/produit/haut-prune/,https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000312-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000317-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000313-scaled.jpg,oprocaccini_export\images\haut-prune\haut-prune_1.jpg; oprocaccini_export\images\haut-prune\haut-prune_2.jpg; oprocaccini_export\images\haut-prune\haut-prune_3.jpg
Haut (Rose),CHF45.00,Haut long en Jersey velours rose.,"Hauts/Tops, Vêtements",https://www.oprocaccini.com/produit/haut-rose/,https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000294-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000298-scaled.jpg,oprocaccini_export\images\haut-rose\haut-rose_1.jpg; oprocaccini_export\images\haut-rose\haut-rose_2.jpg
Haut beige,CHF29.90,Haut beige avec fronce sur les côtés.,"Hauts/Tops, Vêtements",https://www.oprocaccini.com/produit/haut-beige/,https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000387-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000389-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000386-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2021/09/P1000384-scaled.jpg,oprocaccini_export\images\haut-beige\haut-beige_1.jpg; oprocaccini_export\images\haut-beige\haut-beige_2.jpg; oprocaccini_export\images\haut-beige\haut-beige_3.jpg; oprocaccini_export\images\haut-beige\haut-beige_4.jpg
Haut bleu,CHF49.90,Haut fleurie.,"Hauts/Tops, Vêtements",https://www.oprocaccini.com/produit/haut-bleu-2/,https://www.oprocaccini.com/wp-content/uploads/2024/09/P1010566-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2024/09/P1010567-scaled.jpg; https://www.oprocaccini.com/wp-content/uploads/2024/09/P1010568-scaled.jpg,oprocaccini_export\images\haut-bleu\haut-bleu_1.jpg; oprocaccini_export\images\haut-bleu\haut-bleu_2.jpg; oprocaccini_export\images\haut-bleu\haut-bleu_3.jpg
